,Algorithm,Descriptor,R2,RMSE,MSE,RPD,MAE,Explained Var
3,SVR,_normalized_moreaubroto_autocorrelation,0.5110674868906682,3.976335683843217,15.811245470604902,1.4301300790657403,3.2030106753711336,0.5118002880954011
7,RandomForestRegressor,_composition,0.5104828463756383,3.9082573759901136,15.274475716981131,1.4292758068758231,3.110924528301888,0.5224322824372125
3,AdaBoostRegressor,_normalized_moreaubroto_autocorrelation,0.5043345979312979,4.657584719010196,21.69309541475729,1.4203837566307234,3.638116510184609,0.5281048302435548
14,AdaBoostRegressor,_amp_pseudo_AAC,0.5017685228362192,3.936082163427929,15.492742797255488,1.4167212857668858,3.0347086207213283,0.5089603850627387
9,SVR,_distribution,0.5014213051220702,3.750399923352108,14.065499585079493,1.416227886826228,2.9557359177068436,0.5222401389623619
8,SVR,_transition,0.5001577434751139,3.8663926087446945,14.94899180495561,1.4144366981336804,3.1019441252073534,0.5163312507794608
7,KNN,_composition,0.5001298323954492,4.719005331715012,22.26901132075471,1.4143972088732464,3.5932075471698104,0.5183881323128219
8,KNN,_transition,0.496241090006041,3.763154036428324,14.161328301886785,1.4089274473233786,3.0475471698113195,0.5342157495691117
7,SVR,_composition,0.4955032994124894,4.594623657496451,21.110566554026068,1.4078968422263636,3.7590630180382982,0.4999777407183801
10,KNN,_conjoint_triad,0.4829147922955911,4.1614493121217375,17.317660377358486,1.390653531399112,3.163018867924528,0.5731194608614314
8,BaggingRegressor,_transition,0.4779169004006579,4.505218776753812,20.296996226415104,1.3839811740908259,3.6018867924528313,0.5027729193462515
3,RandomForestRegressor,_normalized_moreaubroto_autocorrelation,0.4693481384172432,4.493817509792844,20.194395811320764,1.37276170021012,3.5846037735849063,0.4697460519208722
7,BaggingRegressor,_composition,0.4463761304945836,4.757886600756724,22.637484905660386,1.343979352639465,3.8239622641509463,0.4577285876198489
0,PLSRegression,_aa_composition,0.4244730603855731,4.169626084678769,17.3857816860336,1.318157094503992,3.093096517265556,0.43892352629163933
5,RandomForestRegressor,_geary_autocorrelation,0.4144301560810157,3.8724840986554887,14.996133094339614,1.3068045817869816,3.0516981132075482,0.4146793568539141
7,AdaBoostRegressor,_composition,0.4048896104640031,3.795100236123501,14.402785802224654,1.2962872034855046,3.1314504301834822,0.413566131041706
12,DecisionTreeRegressor,_quasi_seq_order,0.3960809250244852,4.406127808422147,19.413962264150943,1.2867987383490902,3.8,0.3970594423824263
3,BaggingRegressor,_normalized_moreaubroto_autocorrelation,0.3853436657263526,4.520989622838268,20.43934716981132,1.2755098572459442,3.686037735849056,0.3862108244966999
14,RandomForestRegressor,_amp_pseudo_AAC,0.3672319923881541,4.493742296815503,20.193719830188673,1.2571229163880748,3.612320754716984,0.4434609160764833
3,KNN,_normalized_moreaubroto_autocorrelation,0.35298537484657244,4.783237239628203,22.879358490566037,1.2432055813026246,3.82,0.3789862422561349
14,DecisionTreeRegressor,_amp_pseudo_AAC,0.3324423866126871,4.919828958524073,24.20471698113207,1.2239273039404617,3.8433962264150936,0.33262392727534085
5,DecisionTreeRegressor,_geary_autocorrelation,0.31763467587206984,5.549502782418932,30.796981132075466,1.2105745109211796,3.7962264150943392,0.3359599778257567
9,DecisionTreeRegressor,_distribution,0.29582308312394623,5.2579678978759805,27.646226415094358,1.1916785101397025,4.016981132075471,0.2987284450904633
8,DecisionTreeRegressor,_transition,0.2864523793374165,5.356040497543009,28.687169811320768,1.18382775771224,4.094339622641509,0.3181178455751994
