,Algorithm,Index,R2,RMSE,MSE,RPD,MAE,Explained Var
1980,DecisionTreeRegressor,LIFS790102,1.0,5.231508314557382,27.36867924528302,1.0071360622390013,4.09056603773585,-0.002629513815730622
1978,DecisionTreeRegressor,LEWP710101,1.0,5.870135481063255,34.45849056603773,1.0586012052802858,4.543396226415096,0.09563448750734826
1990,DecisionTreeRegressor,MEEJ800101,1.0,5.4956758301585324,30.202452830188676,1.0063217159005025,4.216981132075472,0.03667059341326828
1977,DecisionTreeRegressor,LEVM780106,1.0,4.942098706282738,24.424339622641508,1.0498452633451458,3.7905660377358488,0.07609631541405726
1976,DecisionTreeRegressor,LEVM780105,1.0,5.951882530794553,35.42490566037737,0.9083645234346642,4.622641509433963,-0.21843165761976002
1975,DecisionTreeRegressor,LEVM780104,1.0,7.763958822905592,60.27905660377359,0.778536710939341,5.922641509433962,-0.6293674125365492
1974,DecisionTreeRegressor,LEVM780103,1.0,4.086471006017156,16.699245283018865,1.3716155475162384,3.30566037735849,0.4610496734755726
1973,DecisionTreeRegressor,LEVM780102,1.0,7.21889554088357,52.11245283018869,0.7196089013115319,6.150943396226416,-0.9613788600500672
1972,DecisionTreeRegressor,LEVM780101,1.0,4.3738071150023625,19.13018867924529,1.1195416441838264,3.4377358490566046,0.19901557716124496
1971,DecisionTreeRegressor,LEVM760107,1.0,5.8088903886344605,33.74320754716981,1.0057410622318672,4.39056603773585,-0.007393017370358912
1970,DecisionTreeRegressor,LEVM760106,1.0,6.574077164594111,43.218490566037744,0.7767924175973001,5.528301886792453,-0.6461159196703465
1989,DecisionTreeRegressor,MCMT640101,1.0,5.037126314619672,25.372641509433965,1.1233535278024527,4.050943396226415,0.2010147037991895
1991,DecisionTreeRegressor,MEEJ800102,1.0,4.456540667039977,19.86075471698113,1.395318130488638,3.328301886792453,0.4938393501608571
2011,DecisionTreeRegressor,NADH010101,1.0,4.221910503775132,17.82452830188679,1.2458484036773843,3.3924528301886783,0.34628853845865337
