,Algorithm,Index,Category,R2,RMSE,MSE,RPD,MAE,Explained Var
208,DecisionTreeRegressor,JACR890101,hydrophobic,0.6309170059548632,3.4263408062763863,11.739811320754715,1.6460308953891511,2.760377358490566,0.6312081122056228
527,BaggingRegressor,VASM830103,meta,0.6305816190646707,3.7180850721538867,13.824156603773575,1.6452835279478681,3.0779245283018857,0.6321184256665497
342,AdaBoostRegressor,NAKH920107,composition,0.6303780548755857,3.6274660117024498,13.15850966605648,1.6448304069446964,2.745852080957345,0.6653193122286385
3,RandomForestRegressor,ARGP820103,composition,0.629958295197512,4.0932541582185715,16.75472960377362,1.6438972291651135,3.2053018867924554,0.6314372439807722
145,RandomForestRegressor,FINA910101,sec_struct,0.62949429878485,3.582037635570225,12.830993622641527,1.6428675535456168,2.996792452830192,0.6297960582270128
45,BaggingRegressor,BLAS910101,hydrophobic,0.6292072458824518,3.9215478749913353,15.378537735849054,1.6422315092848894,3.196037735849057,0.6315299626840882
224,AdaBoostRegressor,KANM800104,sec_struct,0.6290965609212228,4.0638463702099035,16.514847320668213,1.6419864537329918,3.3456980445420306,0.6294533621117264
343,BaggingRegressor,NAKH920108,composition,0.6286788599775092,3.750147166923573,14.063603773584905,1.6410626546174634,2.856226415094339,0.6289757351948709
241,AdaBoostRegressor,KARS160114,meta,0.6282335097026293,3.347749532845957,11.20742693467032,1.6400794208797207,2.8239898254663713,0.6294685227633919
127,AdaBoostRegressor,FASG760104,polar,0.6276928377227661,3.7683037652531097,14.200113267220766,1.6388881099828077,3.0485442174895065,0.6566754258194112
256,AdaBoostRegressor,KRIW710101,geometry,0.6275866202900955,3.6136516545259316,13.058478280258006,1.6386543765683703,2.8904866817995822,0.6276237230544637
49,AdaBoostRegressor,BULH740102,geometry,0.6275111918886079,2.99609143623168,8.976563894260813,1.6384884556931485,2.4226468244638353,0.6294443535169884
404,AdaBoostRegressor,QIAN880104,sec_struct,0.6270937188358984,3.2180812363914786,10.35604684401491,1.6375710451228391,2.4976607629990277,0.6403648514142599
79,PLSRegression,CHOP780202,sec_struct,0.6262146911218875,3.813197790655949,14.540477390663408,1.6356443808155317,3.1657253796544484,0.6262662982904044
450,RandomForestRegressor,RACS820108,geometry,0.6258216762247213,4.1540167081176715,17.255854811320766,1.6347851628245835,3.442471698113208,0.6455232036942542
285,AdaBoostRegressor,MAXF760101,sec_struct,0.6257267806332901,3.5034128835171816,12.27390183239417,1.6345779028183705,3.001287737426821,0.6325761945253334
308,AdaBoostRegressor,MUNV940101,sec_struct,0.6255364057734533,3.709760406674232,13.762322274927762,1.634162345598934,3.1249099870666543,0.6256904127229319
